Year,State,Category,Total,Average,Count
2008,DC,Debt,182199,6507.10714286,28
2008,DC,Medical & Personal,29000,9666.66666667,3
2008,DC,Other/NA,46500,6642.85714286,7
2008,DC,Student,33900,6780.0,5
2008,DE,Auto & Home,25000,25000.0,1
2008,DE,Business,21000,10500.0,2
2008,DE,Debt,84999,6538.38461538,13
2008,DE,Medical & Personal,4100,1366.66666667,3
2008,DE,Other/NA,16700,3340.0,5
2008,DE,Student,2000,2000.0,1
2008,FL,Auto & Home,394549,6363.69354839,62
2008,FL,Business,1199446,9086.71212121,132
2008,FL,Debt,2201415,7101.33870968,310
2008,FL,Medical & Personal,689190,4994.13043478,138
2008,FL,Other/NA,376970,4653.95061728,81
2008,FL,Student,116384,3423.05882353,34
2008,GA,Auto & Home,391651,7120.92727273,55
2008,GA,Business,1110579,10283.1388889,108
2008,GA,Debt,2014707,6693.37873754,301
2008,GA,Medical & Personal,637253,5223.3852459,122
2008,GA,Other/NA,291451,4700.82258065,62
2008,GA,Student,158930,4540.85714286,35
2008,HI,Auto & Home,9000,4500.0,2
2008,HI,Business,56000,7000.0,8
2008,HI,Debt,114500,6361.11111111,18
2008,HI,Medical & Personal,51500,6437.5,8
2008,HI,Other/NA,17995,8997.5,2
2008,HI,Student,13209,2641.8,5
2008,IA,Auto & Home,17800,2966.66666667,6
2008,IA,Business,78500,8722.22222222,9
2008,IA,Debt,275949,6271.56818182,44
2008,IA,Medical & Personal,81380,3538.26086957,23
2008,IA,Other/NA,41500,3458.33333333,12
2008,IA,Student,22000,3666.66666667,6
2008,ID,Auto & Home,25150,3592.85714286,7
2008,ID,Business,122021,8134.73333333,15
2008,ID,Debt,266952,5932.26666667,45
2008,ID,Medical & Personal,87950,3382.69230769,26
2008,ID,Other/NA,15500,3875.0,4
2008,ID,Student,40630,10157.5,4
2008,IL,Auto & Home,376786,8373.02222222,45
2008,IL,Business,1022039,10989.6666667,93
2008,IL,Debt,2040925,5864.72701149,348
2008,IL,Medical & Personal,748268,4676.675,160
2008,IL,Other/NA,240461,4007.68333333,60
2008,IL,Student,183830,3676.6,50
2008,IN,Auto & Home,87750,4387.5,20
2008,IN,Business,309900,9390.90909091,33
2008,IN,Debt,539101,5337.63366337,101
2008,IN,Medical & Personal,176050,4293.90243902,41
2008,IN,Other/NA,80700,2882.14285714,28
2008,IN,Student,13350,1907.14285714,7
2008,KS,Auto & Home,43700,3972.72727273,11
2008,KS,Business,110899,10081.7272727,11
2008,KS,Debt,310774,5863.66037736,53
2008,KS,Medical & Personal,83110,3777.72727273,22
2008,KS,Other/NA,38100,7620.0,5
2008,KS,Student,7000,7000.0,1
2008,KY,Auto & Home,30586,3398.44444444,9
2008,KY,Business,145001,14500.1,10
2008,KY,Debt,149299,5971.96,25
2008,KY,Medical & Personal,61501,5125.08333333,12
2008,KY,Other/NA,49300,3286.66666667,15
2008,KY,Student,7000,7000.0,1
2008,LA,Auto & Home,35400,8850.0,4
2008,LA,Business,70999,6454.45454545,11
2008,LA,Debt,93300,4665.0,20
2008,LA,Medical & Personal,22100,2455.55555556,9
2008,LA,Other/NA,22150,3164.28571429,7
2008,LA,Student,2500,1250.0,2
2008,MA,Auto & Home,109430,9119.16666667,12
2008,MA,Business,239351,8548.25,28
2008,MA,Debt,585738,6436.68131868,91
2008,MA,Medical & Personal,182601,4057.8,45
